id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
889745	000000000000000000006457be2ce41ba442deb8f4146375dc19d7debbad1e31	2025-03-28 00:08:16	2025-03-27 23:17:06	1837816	718589	3993583	586096640	22ef2000	100010111011110010000000000000	d66005325041069f8bca7d38ceff25fd3e28adac247722541071d52ed272d853	765653508	386038124	113757508810854	0000000000000000000000000000000000000000b7885164f7c7bcbaaff91ee0	0391930d1a2f5669614254432f4d696e656420627920686f7a7961696e312f2cfabe6d6ded12986726a63c1dba8406f84209914eecdc7a6c95e5b9bbef9edf6682eac4261000000000000000109e4514051fdae4c818dd9f7ec20b010000000000	2978	2727	7404	8978	277641948458	241751168	277954448458	242023280	3805216	3313.3157	2070.9932	1.8033	953.2164	0.8298	8206.769850186	312500000	272103.125	316305216	275416.4375	ViaBTC
889746	00000000000000000001338d85d1f3df9041252d1332b416515a39607e3bd103	2025-03-28 00:19:47	2025-03-27 23:19:13	1674908	772854	3993470	538165248	2013c000	100000000100111100000000000000	95002f1b06df87b6cbd1788cb50ae6bb282dfc6005d460af96d888c056192f71	3202691683	386038124	113757508810854	0000000000000000000000000000000000000000b788b8db9b25987e8b5247e0	0392930d1b2f5669614254432f4d696e6564206279203536383930333038342f2cfabe6d6da62a6b1727e93d7b5a881c4524e6221ef2ca001574140f44711b87cc92ce1804100000000000000010d20f3808a39283628479f084494f070000000000	4153	3925	6563	12354	2311151528112	2012388992	2311464028112	2012661120	3046185	2652.4048	1819.1848	1.5839	763.09955	0.6644	24436.39747874	312500000	272103.125	315546185	274755.5312	ViaBTC
889747	00000000000000000000d51f1d445b48d8c5c8ddc7af9619d1b0c6960af3c99b	2025-03-28 00:22:03	2025-03-27 23:33:58	1356005	879294	3993887	538042368	2011e000	100000000100011110000000000000	3d2f364410a4211ba56f001101e3d95bd80b67346f56728ae78b4698350ec487	576415304	386038124	113757508810854	0000000000000000000000000000000000000000b78920523e83744266ab70e0	0393930d194d696e656420627920416e74506f6f6c206501120734b9d2e4fabe6d6dd8480f9919e506f045b5da027904f4987dbef92b5199d2c1aca991a45d8d38bd10000000000000000000f1dc674f000000000000	1941	1883	6546	6381	46642601777	40613112	46955101777	40885216	1489875	1297.2788	1099.1323	0.9569	373.21713	0.3248	9760.8952537622	312500000	272103.125	313989875	273400.4062	AntPool
889748	00000000000000000001acfa6cd09ad201422e8dfab671b8bef4dbc27b0fedaf	2025-03-28 00:27:40	2025-03-27 23:55:54	1206617	929016	3993665	613556224	24922000	100100100100100010000000000000	bd48ceef22a31c2a9a05d6b68ddb102032cdd6b66ce0aaa124bc69d93ac1dc4f	3724137143	386038124	113757508810854	0000000000000000000000000000000000000000b78987c8e1e15006420499e0	0394930d1c4d696e656420627920416e74506f6f6c393635b900020636bc5a6f01fabe6d6d448fb39cf624947d25b460478659d8085fb7339d50ca64bd0e3449bc8aa6f84e10000000000000000000537aa073000000000000	1313	1193	6786	4007	103099462593	89771792	103411962593	90043896	1968745	1714.2454	1632.3097	1.421	493.2041	0.4293	2061.2081060042	312500000	272103.125	314468745	273817.375	AntPool
889749	0000000000000000000011c3389ffb9baeea9e41e54ff8f8d241b008cb35c4a5	2025-03-28 00:38:59	2025-03-27 23:56:04	1542060	817013	3993099	756670464	2d19e000	101101000110011110000000000000	035781f3eb213906f79b79c75c9896eff6eb4f0a6da19cfa1480b9342c2a2fcb	2996171924	386038124	113757508810854	0000000000000000000000000000000000000000b789ef3f853f2bca1d5dc2e0	0395930d04a3efe5672f466f756e6472792055534120506f6f6c202364726f70676f6c642f0160db6f50f6000000000000	2718	2454	7524	8314	245199033374	213502160	245511533374	213774256	2687846	2340.3882	1743.5431	1.5186	673.4149	0.586	8023.6492941358	312500000	272103.125	315187846	274443.5	Foundry USA Pool
889750	000000000000000000012dac3a7fcfa59b1e65389a5512b008bb6d54b40b2fa4	2025-03-28 00:46:02	2025-03-28 00:08:16	1374023	873182	3993569	805306368	30000000	110000000000000000000000000000	916e47d5f609a8e03123e8f66fdaafd6f11f5385b8577abd2cee725035a809a5	810823010	386038124	113757508810854	0000000000000000000000000000000000000000b78a56b6289d078df8b6ebe0	0396930d182f5669614254432f4d696e6564206279206b726e6c36342f2cfabe6d6d6c19e15451fc2ddfc99072df435ce95be21d7c0476185f6e2d893e81b864b4a3100000000000000010813b9e0863c8aeb162bf5cd5bcc21700	1585	1425	7595	4881	190045868254	165478640	190358368254	165750736	2629137	2289.2686	1914.0485	1.6666	658.60394	0.5738	7104.3821159402	312500000	272103.125	315129137	274392.4062	ViaBTC
889751	0000000000000000000210d190d7a73c6cf7e6b07135c297780ad5d3e5a61808	2025-03-28 00:52:36	2025-03-28 00:19:47	1230833	920886	3993491	698867712	29a7e000	101001101001111110000000000000	10774ca37922e2154edd454cf34f8b093d49e1f74cc0e39207acf450d42c8888	2438727315	386038124	113757508810854	0000000000000000000000000000000000000000b78abe2ccbfae351d41014e0	0397930d194d696e656420627920416e74506f6f6c204d005c073fa7be1afabe6d6db4f7677056714221897b22d12cb68bdd40ae3b58fa67a222da6522a7e93989f2080000000000000000002c4f0e4e1f0200000000	1326	1187	6867	4118	103414270480	90045904	103726770480	90318008	2047885	1783.1549	1664.502	1.4498	513.05084	0.4467	2146.2259237991	312500000	272103.125	314547885	273886.2812	AntPool
889752	00000000000000000001df32f3641d6877ee25726b7e3a12e3af8984f9b135e7	2025-03-28 01:01:19	2025-03-28 00:22:03	1223330	923373	3993449	615112704	24a9e000	100100101010011110000000000000	9fde0a28c68927a92b03b5a3cd71cf8aab28b37d0f0a12d43f136379c0694293	1107865778	386038124	113757508810854	0000000000000000000000000000000000000000b78b25a36f58bf15af693de0	0398930d04dff4e5672f466f756e6472792055534120506f6f6c202364726f70676f6c642f2a785837aab9000000000000	1145	964	5165	3430	254398057528	221512016	254710557528	221784128	3821528	3327.519	3125.0483	2.721	957.36444	0.8333	17847.746732174	312500000	272103.125	316321528	275430.6562	Foundry USA Pool
889753	000000000000000000017bfff891a9307065a39754d790ed81bb62eafa6ec299	2025-03-28 01:09:42	2025-03-28 00:27:40	1118299	958466	3993697	578650112	227d8000	100010011111011000000000000000	d308754e6087549f84cdd1e12bf67f487b3ac5a459721a36cbeaa33653f1cf00	3512110740	386038124	113757508810854	0000000000000000000000000000000000000000b78b8d1a12b69ad98ac266e0	0399930d04d6f6e5672f466f756e6472792055534120506f6f6c202364726f70676f6c642f115ded0b3cb2000000000000	888	707	4324	1877	219090101406	190768320	219402601406	191040432	3798028	3307.0569	3397.652	2.9587	951.41815	0.8281	4576.9617696845	312500000	272103.125	316298028	275410.1875	Foundry USA Pool
889754	00000000000000000001f0f87eb62f992cd7f4beb97619848b586c34186cdbd1	2025-03-28 01:19:41	2025-03-28 00:38:59	1138812	951643	3993741	752852992	2cdfa000	101100110111111010000000000000	adc42faf55f3f4fa7c9d41f26502aa4ec0a5f5d54696c9ffd4c9c63abbd0d584	1582961760	386038124	113757508810854	0000000000000000000000000000000000000000b78bf490b614769d661b8fe0	039a930d1a4d696e656420627920416e74506f6f6c20b900100649570faa01fabe6d6dc52c6d788007083f60aa5b77eed1cc7d7a4ed28cf67e9953b986c87fc467933310000000000000002e53000014d7000000000000	939	787	4200	4264	239486697916	208528256	239799197916	208800352	4267001	3715.4058	3748.5503	3.2644	1068.9338	0.9308	1208.6167054763	312500000	272103.125	316767001	275818.5312	AntPool
