id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
889597	00000000000000000000921720c9f1b562fa0d584f92dfe4a2546c3cd455a00e	2025-03-27 00:33:13	2025-03-26 23:33:14	1567236	808794	3993618	544022528	206d2000	100000011011010010000000000000	64606ad5a24e67d2a6fad5178ea07444e186db747e0809a41e73f62ba3ac352a	415986561	386038124	113757508810854	0000000000000000000000000000000000000000b74c80ce8584af7fe06d6ae0	03fd920d04c99ce4672f466f756e6472792055534120506f6f6c202364726f70676f6c642f1d4c91d17e3c000000000000	3611	3212	7356	11917	2630517309185	2292495872	2630829809185	2292768256	9922734	8647.6631	6333.2183	5.5192	2485.7258	2.1665	902183.1163951	312500000	272343.75	322422734	280991.4062	Foundry USA Pool
889598	00000000000000000001c89ade71b9f354ef7bec38839e03fab32b314562e829	2025-03-27 00:34:22	2025-03-26 23:37:38	1696347	767225	3998022	681762816	28a2e000	101000101000101110000000000000	929b68b80322a5dde708db3dd02dd20e4eadc2f816f069702e0659e700f085d8	4023985606	386038124	113757508810854	0000000000000000000000000000000000000000b74ce84528e28b43bbc693e0	03fe920d2cfabe6d6d65ec98caeff5a9318484a7d612891777cc8f843f530c6838dbb70f5c69a4ad8510000000f09f909f092f4632506f6f6c2f640000000000000000000000000000000000000000000000000000000000000000000000050011ba6311	2840	2639	8584	8873	214363179327	186817504	214675679327	187089856	2734532	2383.1445	1612.5521	1.4057	684.3416	0.5961	18981.119962282	312500000	272343.75	315234532	274726.9062	F2Pool
889599	000000000000000000024379f717f692b26463201e13259ebb78f2508df21021	2025-03-27 00:36:39	2025-03-26 23:41:16	1418168	858377	3993299	599965696	23c2c000	100011110000101100000000000000	d29ecd2d46f200d0d1621e72b6ab8fd1d2161d5c2b5acf9973a5fa49430ef4d6	1842591388	386038124	113757508810854	0000000000000000000000000000000000000000b74d4fbbcc406707971fbce0	03ff920d04979de4672f466f756e6472792055534120506f6f6c202364726f70676f6c642f3032b4392a25000000000000	1676	1615	6179	4732	32262520734	28116786	32575020734	28389130	2475194	2157.1316	1745.9125	1.5216	620.10583	0.5403	884.68241793734	312500000	272343.75	314975194	274500.875	Foundry USA Pool
889600	00000000000000000001d2b259eae3a4834b0231f687d683f9dcd0a963a97c26	2025-03-27 00:39:44	2025-03-26 23:47:25	1808973	728073	3993192	591069184	233b0000	100011001110110000000000000000	78b6c3198ee893ff77208a8155bf72be4904d3d3f45a69a87dbb8d0b7d110859	1979789340	386038124	113757508810854	0000000000000000000000000000000000000000b74db7326f9e42cb7278e5e0	0300930d1c2f5669614254432f4d696e656420627920706c636c61706c6174612f2cfabe6d6d68aa85abffcd6fef78f3a5af0e2a6d50d01f04f4e753065d305a26e18233292f10000000000000001065fb8d0a11ebdf02600255dfe53e0000	4698	4615	6142	12108	59451351965	51811852	59763851965	52084196	2499456	2178.2759	1382.0251	1.2044	626.18024	0.5456	7807.2622865862	312500000	272343.75	314999456	274522.0312	ViaBTC
889601	00000000000000000000172c0fffb3acdadfd0d4803f496eb42d1fb7d6a16240	2025-03-27 00:51:24	2025-03-26 23:49:42	1482488	837023	3993557	588865536	23196000	100011000110010110000000000000	b7a2d1be98e03c4f8864be8c9d61caa523bc6f2c9fde0f5e37343fb4e7737e0f	3453300759	386038124	113757508810854	0000000000000000000000000000000000000000b74e1ea912fc1e8f4dd20ee0	0301930d04c4a0e4672f466f756e6472792055534120506f6f6c202364726f70676f6c642f4251ea9f000009b800000000	2483	2253	7452	7353	286984727294	250107184	287297227294	250379536	4357917	3797.9246	2940.5093	2.5631	1091.7104	0.9517	29055.047914083	312500000	272343.75	316857917	276141.6875	Foundry USA Pool
889602	000000000000000000012b6fe829a8e60ecc594e914be6044a39d9d088783223	2025-03-27 01:00:58	2025-03-27 00:33:13	1604714	796328	3993698	621592576	250cc000	100101000011001100000000000000	21dfdd2092eaae82970bc32f31637ff185b4c70a0de97bf7f24b2be5dd687742	1501279902	386038124	113757508810854	0000000000000000000000000000000000000000b74e861fb659fa53292b37e0	0302930d044aa3e4672f466f756e6472792055534120506f6f6c202364726f70676f6c642f2b0e2f1f5911000000000000	3372	3175	7041	9158	215840031011	188104592	216152531011	188376928	3735135	3255.1702	2328.269	2.0289	935.663	0.8157	26488.766094187	312500000	272343.75	316235135	275598.9062	Foundry USA Pool
889603	00000000000000000000ce1d9f346e9e4017411dbed5feb369f2ffe59bbbad6f	2025-03-27 01:30:17	2025-03-27 00:34:22	1608381	794992	3993357	573267968	222b6000	100010001010110110000000000000	ab921732f67be4001290eff6848b748f60f5065471e0e542fa3a157a148f8d5b	751375513	386038124	113757508810854	0000000000000000000000000000000000000000b74eed9659b7d617048460e0	0303930d0429aae4672f466f756e6472792055534120506f6f6c202364726f70676f6c642f2b25c3b63383020000000000	3455	3072	7370	10939	804113835083	700785216	804426335083	701057536	7625152	6645.3198	4742.243	4.1327	1910.2877	1.6646	37553.134323551	312500000	272343.75	320125152	278989.0625	Foundry USA Pool
889604	00000000000000000001dba121ff90d838af340c8d681b8aafd00b7bf5106b1c	2025-03-27 01:45:30	2025-03-27 00:36:39	1685930	769213	3993569	536928256	2000e000	100000000000001110000000000000	e421de4dc71d1ba3b1b9d5e8ccc509c375b4445354e6bfc53ef239b5b7d6f30d	803373170	386038124	113757508810854	0000000000000000000000000000000000000000b74f550cfd15b1dadfdd89e0	0304930d122f5669614254432f5472757374706f6f6c2f2cfabe6d6d7d3886db5c8f1e33c6928b79e0176a92b315b794e94ef053558a66cc8523c7b6100000000000000010e32d9001592ad16fc4fabd4ef209230000000000	2958	2677	8494	9216	326752285230	284764608	327064785230	285036960	5704032	4971.064	3384.16	2.9492	1428.8683	1.2454	110661.93065528	312500000	272343.75	318204032	277314.8125	ViaBTC
889605	000000000000000000024ec26689d2f23ca1c79826cb293fbccf792842bb6f74	2025-03-27 01:56:51	2025-03-27 00:39:44	1561765	810485	3993220	565362688	21b2c000	100001101100101100000000000000	6ff95a758c9f98505702f50c6eab5cdcb2878657b44ec5b4c2aeb6b1369399da	1268481611	386038124	113757508810854	0000000000000000000000000000000000000000b74fbc83a0738d9ebb36b2e0	0305930d0465b0e4677c204d415241204d61646520696e2055534120f09f87baf09f87b8207c763032fabe6d6d0cc1c605fd011cba061a7478195683fcf6300f29d552f1a46ff6c7dc7025cc50010000000000000013bd5b0177008cf80000ffffffff	2874	2696	7649	7585	286423856889	249618384	286736356889	249890736	4264535	3716.5422	2731.199	2.3801	1068.2896	0.9308	7902.2877043599	312500000	272343.75	316764535	276060.2812	Unknown
889606	00000000000000000001e6c0c67b2afe7cb8085da728a0317b5b2e71e2f81c64	2025-03-27 02:30:51	2025-03-27 00:51:24	1584297	802949	3993144	537722880	200d0000	100000000011010000000000000000	775be3a074e2a85638d452ce2362560f93f251ea320e17fa449ac4d2dd575626	4183494419	386038124	113757508810854	0000000000000000000000000000000000000000b75023fa43d16962968fdbe0	0306930d045bb8e4670c0000d629ef900100000000000b5768697465506f6f6c2031	3703	3377	7172	11707	475280677373	414207104	475593177373	414479456	8653872	7541.8496	5463.379	4.761	2167.8167	1.8894	54487.018764721	312500000	272343.75	321153872	279885.5938	Unknown
889607	000000000000000000011d9ad2958cee885009482d2a8327bc5f597d2f11c9aa	2025-03-27 02:51:26	2025-03-27 01:00:58	1574041	806505	3993556	659161088	274a0000	100111010010100000000000000000	e304b5760f595d319ebbec7fba52fb253acd308e7a5fdd196fb5a161f10b7048	3510817819	386038124	113757508810854	0000000000000000000000000000000000000000b7508b70e72f452671e904e0	0307930d0421bde4672f466f756e6472792055534120506f6f6c202364726f70676f6c642f0216224f7f04000000000000	2999	2735	7678	9273	434633273496	378782912	434945773496	379055232	7095362	6183.6079	4509.054	3.9296	1777.4736	1.5487	23000.261022828	312500000	272343.75	319595362	278527.3438	Foundry USA Pool
889608	0000000000000000000089dee87e094c2703f266c2cfed84db0bd54e55611645	2025-03-27 02:56:03	2025-03-27 01:30:17	1707692	762010	3993722	776069120	2e41e000	101110010000011110000000000000	dd7b26d112d8c2115f7eb559346bf44282edcd6a6d31879d88b4657641d6e534	2666042967	386038124	113757508810854	0000000000000000000000000000000000000000b750f2e78a8d20ea4d422de0	0308930d0443bee4672f466f756e6472792055534120506f6f6c202364726f70676f6c642f0a293c4d0000241dc3000000	2482	2339	7668	7286	113541029433	98951008	113853529433	99223352	3429330	2988.6611	2008.7076	1.7508	859.05273	0.7486	40424.844941938	312500000	272343.75	315929330	275332.4062	Foundry USA Pool
889609	00000000000000000002409785b54844767983f1e7c0ffd7d4da5915e2f8cf8e	2025-03-27 03:01:01	2025-03-27 01:45:30	1317308	893574	3998030	536928256	2000e000	100000000000001110000000000000	d5e3ae439b5045b825e813e7acbd4b4c9bdc3b0fd31b1cb69a80087f2bed8731	495710767	386038124	113757508810854	0000000000000000000000000000000000000000b7515a5e2deafcae289b56e0	0309930d2cfabe6d6d373a37459f02fc97aae0cf8b1bf05a379edd3b81c1864d731300dbebe6a5532d10000000f09f909f092f4632506f6f6c2f7300000000000000000000000000000000000000000000000000000000000000000000000500010b4945	1070	968	7834	2885	160133295278	139556160	160445795278	139828512	3238044	2821.9553	2459.137	2.143	810.3485	0.7059	3603.7313825942	312500000	272343.75	315738044	275165.7188	F2Pool
889610	00000000000000000001d07bf2fc4c2d9459289aefde87bd55255b9930a02196	2025-03-27 03:10:41	2025-03-27 01:56:51	1503301	831522	3997867	536887296	20004000	100000000000000100000000000000	282722cb9ca2deb925951ab50d36254b41344c3c595cfd538d44111e26f99e8e	3189579085	386038124	113757508810854	0000000000000000000000000000000000000000b751c1d4d148d87203f47fe0	030a930d2cfabe6d6dfc296b6c381df5c77012de7e68eb28aa3d358a3fa32f8b593bf6699acf75983810000000f09f909f092f4632506f6f6c2f6400000000000000000000000000000000000000000000000000000000000000000000000500d29df690	1925	1776	7807	5666	171077081373	149093680	171389581373	149366016	4694783	4091.5034	3124.163	2.7226	1174.958	1.024	2964.0685630232	312500000	272343.75	317194783	276435.25	F2Pool
889611	000000000000000000000e17fa588cffa4874ee7f681a8355abc3ba8170bf7ce	2025-03-27 03:24:54	2025-03-27 02:30:51	1429629	854635	3993534	1073733632	3fffe000	111111111111111110000000000000	e49ebfd23aee1d437610084037d99a981318efc9df54185e562650064e7d1bd9	2067280246	386038124	113757508810854	0000000000000000000000000000000000000000b752294b74a6b435df4da8e0	030b930d04fac4e4672f466f756e6472792055534120506f6f6c202364726f70676f6c642f0e84f6da00001165ec190000	2272	2098	6726	9778	218108476612	190081536	218420976612	190353888	5216932	4546.5562	3650.3254	3.181	1306.9115	1.1391	7481.5220149244	312500000	272343.75	317716932	276890.3125	Foundry USA Pool
889612	000000000000000000000f2c4dc24115d50d721aa79ae09220f8ca7a2c095c47	2025-03-27 03:25:52	2025-03-27 02:51:26	1107313	961862	3992899	538632192	201ae000	100000000110101110000000000000	ae6802078bd1e3b643ae1e9bc9809d3b42c580e614b27fa6384593184a08ff39	3545684307	386038124	113757508810854	0000000000000000000000000000000000000000b75290c218048ff9baa6d1e0	030c930d01201309090920090920091015a00000a03200000094	510	486	6666	2803	13735992345	11970917	14048492345	12243261	2312923	2015.7124	2089.2896	1.8206	579.403	0.5046	888.92598851278	312500000	272343.75	314812923	274359.4688	Unknown
889613	000000000000000000007f26a45af184db749834403d7ac06637284c3f5f4d96	2025-03-27 03:36:24	2025-03-27 02:56:03	1506812	830408	3998036	1073733632	3fffe000	111111111111111110000000000000	c2fb9290b4f74f1f54618ae43e4b813d2742f18acc2a738c5970859f56248188	354640617	386038124	113757508810854	0000000000000000000000000000000000000000b752f838bb626bbd95fffae0	030d930d2cfabe6d6d036f559c6a247735cf0619ac566e34651740251615151129ef7139794b56d22210000000f09f909f092f4632506f6f6c2f640000000000000000000000000000000000000000000000000000000000000000000000050042829319	2288	2129	6755	11831	339128117351	295550144	339440617351	295822496	4764575	4152.3271	3163.2158	2.7566	1192.3743	1.0388	8180.9666270537	312500000	272343.75	317264575	276496.0625	F2Pool
889614	0000000000000000000053fa5d0babec2cb258d6d3a4404904ca8bc1d89c4f49	2025-03-27 03:37:45	2025-03-27 03:01:01	1798983	731598	3993777	536977408	2001a000	100000000000011010000000000000	7b08c5a9a2c91f75ad2f8b1ed44b7ec67c0113757b5f2f16d993174f3125fd43	1013958638	386038124	113757508810854	0000000000000000000000000000000000000000b7535faf5ec04781715923e0	030e930d1b4d696e656420627920416e74506f6f6c3936306500a10277bc3d80fabe6d6d4acaf5149eea95d464b56ffac0212c12877d775c81a57588224e49357d7085a61000000000000000a1ba00003946440400000000	4648	4632	5430	13675	22723333449	19803386	23035833449	20075728	1886981	1644.5039	1049.2106	0.9142	472.7071	0.4122	179.72224196377	312500000	272343.75	314386981	273988.25	AntPool
889615	000000000000000000009ce7738d17e932631f4b6048d6ff48ad96ee7731dcd6	2025-03-27 03:39:50	2025-03-27 03:10:41	1732326	753604	3993138	629227520	25814000	100101100000010100000000000000	5ef299bcc8024e48820554ce6642efa70e51b6c8288afdb030aadb3c9dbee7ae	1001154863	386038124	113757508810854	0000000000000000000000000000000000000000b753c726021e23454cb24ce0	030f930d0486c8e4672f466f756e6472792055534120506f6f6c202364726f70676f6c642f0b6d0dc74e00000000000000	3942	3914	5289	11347	70629501230	61553612	70942001230	61825956	1991299	1735.4171	1149.7997	1.0022	498.89664	0.4349	5946.8281605568	312500000	272343.75	314491299	274079.1562	Foundry USA Pool
889616	000000000000000000014802f2a123629ae90f240620337536c031ff47ce2bd7	2025-03-27 03:55:41	2025-03-27 03:24:54	1514795	826252	3993551	872415232	34000000	110100000000000000000000000000	e1844736b29e200e0cc9ad0d992077620b23a6d9794132cd1365b0aa5dfdf4a3	387134337	386038124	113757508810854	0000000000000000000000000000000000000000b7542e9ca57bff09280b75e0	0310930d043dcce4672f466f756e6472792055534120506f6f6c202364726f70676f6c642f0477f7f200001497bf228d00	2583	2388	7578	8625	303369584825	264386592	303682084825	264658944	4541134	3957.5984	2998.7644	2.6136	1137.6102	0.9918	66946.423931001	312500000	272343.75	317041134	276301.3438	Foundry USA Pool
889617	00000000000000000000b6ab8c3330d0e28375e7c8d5471d835b6d2733155783	2025-03-27 04:24:34	2025-03-27 03:25:52	1618698	791541	3993321	611090432	246c8000	100100011011001000000000000000	790ad0a829911fdc9c88d1c203cb85f0880f8b013cbb6b5564f5aa0d33d29c71	216681747	386038124	113757508810854	0000000000000000000000000000000000000000b754961348d9dacd03649ee0	0311930d0f62696e616e63659c00fc04887957f8fabe6d6df429381e05ee1c5fa3e26af82a2363683ab899407653ce41900819e882047176100000000000000072aa00003b04000000000000	3781	3497	7683	10663	2298696665076	2003314176	2299009165076	2003586432	6572868	5728.2544	4061.7563	3.54	1646.6879	1.4354	13832.233505584	312500000	272343.75	319072868	278072	Binance
